,IV
SK_ID_CURR,92.4728760074825
EXT_SOURCE_2,25.94236412815095
AMT_ANNUITY,1.9851120082131324
DAYS_EMPLOYED,1.7316498622903764
DAYS_REGISTRATION,1.2255655444605527
AMT_CREDIT,0.9845162183443569
AGE,0.7551638308466767
AMT_INCOME_TOTAL,0.6576123693304659
DAYS_ID_PUBLISH,0.3966133035998233
EXT_SOURCE_3,0.38908215727905343
AMT_GOODS_PRICE,0.2961171161974033
DAYS_LAST_PHONE_CHANGE,0.2883547510451405
REGION_POPULATION_RELATIVE,0.0748576551580623
ORGANIZATION_TYPE,0.07336774725876795
NAME_INCOME_TYPE,0.058406051534323926
REGION_RATING_CLIENT_W_CITY,0.05120149755009072
NAME_EDUCATION_TYPE,0.05083554290147044
OCCUPATION_TYPE,0.04961091543905986
REGION_RATING_CLIENT,0.04831690185425047
CODE_GENDER,0.03876499379778281
FLAG_EMP_PHONE,0.03290712822093699
REG_CITY_NOT_WORK_CITY,0.03220724394929676
FLAG_DOCUMENT_3,0.028579108192551946
REG_CITY_NOT_LIVE_CITY,0.02229868907167059
NAME_FAMILY_STATUS,0.021943950334905565
NAME_HOUSING_TYPE,0.015730191763565913
NAME_CONTRACT_TYPE,0.015038765990569912
DEF_30_CNT_SOCIAL_CIRCLE,0.014192313238378119
LIVE_CITY_NOT_WORK_CITY,0.013228377372496516
DEF_60_CNT_SOCIAL_CIRCLE,0.012988250276716087
FLAG_DOCUMENT_6,0.012824444294640113
HOUR_APPR_PROCESS_START,0.011369847508672502
FLAG_WORK_PHONE,0.010328573498781508
AMT_REQ_CREDIT_BUREAU_YEAR,0.008580817127622759
FLAG_PHONE,0.007941714785907132
CNT_CHILDREN,0.007415691302620585
CNT_FAM_MEMBERS,0.007316934069747047
AMT_REQ_CREDIT_BUREAU_QRT,0.0066331447239412035
FLAG_OWN_CAR,0.0065965517935781814
AMT_REQ_CREDIT_BUREAU_MON,0.0059128851235654735
OBS_60_CNT_SOCIAL_CIRCLE,0.004017870594694754
OBS_30_CNT_SOCIAL_CIRCLE,0.00391629876120866
FLAG_DOCUMENT_13,0.002845628627023862
FLAG_DOCUMENT_16,0.0022599533503103817
FLAG_DOCUMENT_14,0.0017672431015910114
NAME_TYPE_SUITE,0.0014016219941473907
AMT_REQ_CREDIT_BUREAU_DAY,0.0010086575319495042
FLAG_DOCUMENT_18,0.0009958492163824348
FLAG_DOCUMENT_8,0.0009063283439796524
FLAG_DOCUMENT_15,0.0008834123707745704
WEEKDAY_APPR_PROCESS_START,0.000676688845853548
REG_REGION_NOT_WORK_REGION,0.0006227683430817482
AMT_REQ_CREDIT_BUREAU_WEEK,0.0005193190856091654
FLAG_OWN_REALTY,0.0005054517867189232
AMT_REQ_CREDIT_BUREAU_HOUR,0.00042093852119865643
REG_REGION_NOT_LIVE_REGION,0.00039302178990331346
FLAG_MOBIL,0.0003223537512527089
FLAG_DOCUMENT_9,0.00028773177437367353
FLAG_DOCUMENT_11,0.00027058563802080844
FLAG_DOCUMENT_17,0.00025437980026586453
FLAG_DOCUMENT_12,0.00024612165251860563
FLAG_DOCUMENT_2,0.0002096683342944743
FLAG_DOCUMENT_21,0.00014527031372472884
LIVE_REGION_NOT_WORK_REGION,0.0001050216215261757
FLAG_DOCUMENT_10,0.00010502029758873434
FLAG_EMAIL,4.210277112939151e-05
FLAG_DOCUMENT_7,3.818892756718276e-05
FLAG_DOCUMENT_19,2.7269977358747268e-05
FLAG_CONT_MOBILE,1.8707408737194597e-06
FLAG_DOCUMENT_4,1.4285919606964388e-06
FLAG_DOCUMENT_5,1.3488821913880853e-06
FLAG_DOCUMENT_20,6.161632200629876e-07
